diff_P3_P2,diff_P6_P4,diff_P9_P7,diff_P10_P8,diff_P11_P5,diff_P14_P12,diff_P15_P13,diff_P20_P18,diff_P21_P19,diff_P23_P22,diff_P28_P26,diff_P29_P27,diff_P31_P30,diff_P33_P32,diff_T3_T2,diff_T6_T4,diff_T9_T7,diff_T10_T8,diff_T11_T5,diff_T14_T12,diff_T15_T13,diff_T20_T18,diff_T21_T19,diff_T23_T22,diff_T28_T26,diff_T29_T27,diff_T31_T30,diff_T33_T32,diff_P18_P16,diff_P19_P17,diff_P26_P24,diff_P27_P25
0.04405,0.05535,0.06355,0.03613,0.03333,0.03953,0.04922,0.02293,0.04001,0.03417,0.03853,0.03853,0.02072,0.79381,0.24868,0.441,0.52914,1.90826,0.57195,0.75934,1.86011,1.53875,0.4607,0.35675,1.50866,0.66306,0.46213,0.18485,0.96491,0.92069,0.9716,0.9812
0.04462,0.05607,0.06425,0.03685,0.03375,0.04014,0.04921,0.02338,0.04044,0.03461,0.03864,0.03864,0.02098,0.80415,0.24705,0.4381,0.52624,1.88929,0.56829,0.75357,1.85367,1.52294,0.45814,0.35437,1.5032,0.65794,0.45922,0.18334,0.95169,0.90751,0.95992,0.96891
0.04537,0.05667,0.06487,0.03738,0.03459,0.04159,0.0492,0.0237,0.04083,0.03497,0.03878,0.03878,0.02149,0.81786,0.24494,0.43573,0.52371,1.87585,0.56123,0.7402,1.85414,1.51173,0.4559,0.35243,1.50342,0.64609,0.45368,0.18142,0.93545,0.8911,0.944,0.95153
0.04635,0.05724,0.06571,0.03741,0.03583,0.04383,0.04917,0.02373,0.04136,0.03531,0.03897,0.03897,0.02225,0.83559,0.24228,0.43351,0.52034,1.87503,0.55119,0.72094,1.85763,1.51095,0.45292,0.35067,1.50609,0.62904,0.4458,0.17904,0.91578,0.87014,0.92315,0.92844
0.0474,0.05821,0.06715,0.03743,0.0369,0.0459,0.04915,0.02374,0.04226,0.0359,0.03917,0.03917,0.0229,0.8547,0.23951,0.42983,0.51466,1.87467,0.54298,0.70439,1.86744,1.51054,0.44791,0.34777,1.51405,0.6144,0.43941,0.17653,0.89405,0.84611,0.90111,0.90434
0.04811,0.05928,0.06889,0.03721,0.03727,0.04681,0.04915,0.0236,0.04335,0.03655,0.0393,0.0393,0.02313,0.86755,0.2377,0.42585,0.50805,1.88047,0.54013,0.69748,1.87899,1.51524,0.4421,0.34466,1.52357,0.60829,0.43724,0.17489,0.87915,0.82803,0.88683,0.88915
0.04846,0.06014,0.07039,0.03688,0.03721,0.0469,0.04914,0.0234,0.04428,0.03708,0.03936,0.03936,0.0231,0.87396,0.23681,0.42271,0.50258,1.88909,0.54065,0.69681,1.88953,1.5223,0.43729,0.34223,1.53235,0.60771,0.4377,0.17408,0.87153,0.81748,0.88011,0.88234
0.04877,0.06101,0.07195,0.03643,0.03706,0.04677,0.04914,0.02312,0.04526,0.03761,0.03942,0.03942,0.023,0.87955,0.23604,0.41963,0.49699,1.90101,0.54175,0.6978,1.89618,1.5321,0.43237,0.33986,1.53789,0.60857,0.43861,0.17339,0.86497,0.80766,0.87441,0.87676
0.04932,0.06245,0.0743,0.0362,0.03688,0.04651,0.04914,0.02298,0.04672,0.03849,0.03952,0.03952,0.0229,0.88947,0.2347,0.41463,0.48901,1.9072,0.54311,0.69974,1.89964,1.53711,0.42536,0.33595,1.54077,0.61027,0.4397,0.17213,0.85257,0.79111,0.86413,0.86673
0.04991,0.06385,0.07647,0.03619,0.03681,0.04644,0.04913,0.02297,0.04808,0.03934,0.03963,0.03963,0.02285,0.90015,0.23328,0.40994,0.48195,1.90786,0.54365,0.70026,1.90259,1.53754,0.41916,0.33226,1.54322,0.61072,0.44013,0.1708,0.83909,0.77411,0.85288,0.85554
0.05027,0.0649,0.07778,0.03667,0.03665,0.04635,0.04913,0.02327,0.0489,0.03997,0.0397,0.0397,0.02275,0.90683,0.2324,0.40656,0.47781,1.89498,0.54492,0.70094,1.91326,1.5268,0.41552,0.32953,1.55211,0.61133,0.44119,0.16996,0.8296,0.76327,0.84603,0.84878
0.05063,0.06575,0.07878,0.03724,0.0366,0.0464,0.04913,0.02362,0.04951,0.0405,0.03976,0.03976,0.02273,0.91328,0.23156,0.40383,0.47477,1.8804,0.54527,0.70054,1.92028,1.51466,0.41285,0.3273,1.55795,0.61097,0.44151,0.16915,0.82052,0.7535,0.83924,0.84193
0.05105,0.06632,0.07952,0.03747,0.03689,0.04689,0.04912,0.02377,0.04998,0.04083,0.03984,0.03984,0.02289,0.92096,0.23058,0.40206,0.47254,1.87457,0.5431,0.6969,1.91891,1.50978,0.41089,0.32587,1.55675,0.60774,0.43979,0.16821,0.81115,0.74331,0.83062,0.83283
0.05085,0.06582,0.0788,0.03736,0.03693,0.04709,0.04912,0.0237,0.04954,0.04053,0.0398,0.0398,0.02292,0.91733,0.23104,0.40363,0.4747,1.87719,0.5428,0.69536,1.92583,1.51198,0.41278,0.32713,1.56253,0.60639,0.4396,0.16867,0.81595,0.74908,0.83442,0.83643
0.04868,0.06283,0.07478,0.03638,0.03552,0.04569,0.04916,0.02309,0.04703,0.03871,0.03939,0.03939,0.02206,0.87796,0.23626,0.41334,0.48741,1.90264,0.55371,0.70592,1.98739,1.53334,0.42396,0.33492,1.61423,0.6158,0.44858,0.17362,0.86383,0.80187,0.87857,0.882
0.04604,0.0592,0.06997,0.03509,0.03378,0.04414,0.0492,0.02229,0.04402,0.03651,0.0389,0.0389,0.021,0.82996,0.24311,0.4261,0.50403,1.93743,0.56807,0.71818,2.08215,1.56255,0.4386,0.34515,1.69396,0.62675,0.4605,0.18008,0.92231,0.86605,0.93241,0.93742
0.04402,0.05649,0.06628,0.03431,0.0324,0.043,0.04924,0.0218,0.04171,0.03486,0.03852,0.03852,0.02015,0.79329,0.24876,0.43643,0.51798,1.95946,0.58026,0.72769,2.17155,1.58114,0.4509,0.35341,1.76937,0.63526,0.47064,0.18534,0.96658,0.91502,0.97364,0.97982
0.04287,0.05475,0.0639,0.03384,0.03179,0.04265,0.04925,0.02151,0.04023,0.0338,0.0383,0.0383,0.01978,0.77252,0.25214,0.44346,0.52764,1.97307,0.58602,0.73052,2.22885,1.59264,0.45942,0.35902,1.81777,0.63783,0.47553,0.18847,0.99202,0.94355,0.99673,1.00326
0.04232,0.05348,0.06208,0.03365,0.03181,0.04297,0.04926,0.02139,0.03909,0.03303,0.03821,0.03821,0.01979,0.7625,0.25382,0.4488,0.53536,1.97868,0.58574,0.72787,2.24778,1.59744,0.46622,0.36326,1.83374,0.6355,0.47542,0.19003,1.00492,0.95907,1.00734,1.01358
0.04234,0.0529,0.0611,0.03384,0.03228,0.04345,0.04926,0.0215,0.03847,0.03268,0.03821,0.03821,0.02008,0.76277,0.25377,0.45132,0.5397,1.97285,0.5813,0.72378,2.21891,1.59264,0.47004,0.36521,1.80933,0.63187,0.47176,0.18997,1.00526,0.96131,1.0063,1.01205
0.0432,0.05346,0.06152,0.03462,0.03334,0.04404,0.04924,0.02199,0.03874,0.03301,0.03838,0.03838,0.02072,0.77844,0.25117,0.4489,0.53785,1.95017,0.5718,0.71896,2.1262,1.57372,0.46839,0.36318,1.73115,0.62753,0.46374,0.18752,0.98659,0.94321,0.98794,0.99308
0.04505,0.05559,0.06405,0.03585,0.03488,0.04504,0.0492,0.02276,0.04033,0.03431,0.03873,0.03873,0.02167,0.81201,0.24583,0.44007,0.52703,1.91603,0.55879,0.711,2.01517,1.54512,0.45884,0.35605,1.63775,0.62039,0.45281,0.18254,0.9458,0.90031,0.94975,0.95387
0.04673,0.05749,0.06634,0.03695,0.03628,0.04655,0.04917,0.02344,0.04175,0.03547,0.03904,0.03904,0.02253,0.84247,0.24127,0.43255,0.51782,1.88713,0.54761,0.69939,1.95733,1.52094,0.4507,0.34997,1.58911,0.61006,0.44363,0.17828,0.90887,0.86146,0.9151,0.9177
0.04767,0.05827,0.06707,0.03775,0.0373,0.04794,0.04915,0.02394,0.04221,0.03594,0.03922,0.03922,0.02315,0.85949,0.23883,0.42959,0.51496,1.86648,0.53994,0.68907,1.93469,1.50374,0.44817,0.34753,1.57002,0.60092,0.43744,0.17599,0.88837,0.84108,0.89536,0.89656
0.04823,0.05853,0.06705,0.03854,0.03807,0.04906,0.04913,0.02443,0.0422,0.0361,0.03933,0.03933,0.02362,0.86965,0.23741,0.4286,0.51508,1.84707,0.53432,0.68112,1.92115,1.48764,0.44826,0.34665,1.55859,0.59387,0.43293,0.17465,0.87597,0.82998,0.88332,0.8834
0.04866,0.05881,0.0671,0.03925,0.0386,0.04987,0.04913,0.02487,0.04223,0.03627,0.03941,0.03941,0.02394,0.87749,0.23633,0.42755,0.5149,1.83017,0.53055,0.67552,1.91379,1.47362,0.4481,0.34573,1.55236,0.58893,0.42991,0.17363,0.86612,0.82118,0.87414,0.8734
0.04918,0.05952,0.06783,0.03986,0.03895,0.05043,0.04912,0.02524,0.04268,0.03671,0.03951,0.03951,0.02416,0.887,0.23503,0.42496,0.5121,1.81582,0.52811,0.67178,1.90977,1.46169,0.44562,0.34361,1.54894,0.58563,0.42794,0.17241,0.85398,0.80884,0.86345,0.86216
0.04952,0.06005,0.06831,0.04044,0.03911,0.0509,0.04912,0.02561,0.04298,0.03703,0.03957,0.03957,0.02426,0.89311,0.23421,0.42304,0.51028,1.80233,0.52698,0.66866,1.91844,1.45049,0.44401,0.34203,1.55613,0.58287,0.4271,0.17163,0.84574,0.80078,0.85669,0.85493
0.04973,0.06053,0.06877,0.0409,0.03912,0.05089,0.04911,0.0259,0.04328,0.03731,0.03961,0.03961,0.02426,0.89701,0.23369,0.42135,0.50854,1.79209,0.527,0.66866,1.9188,1.44199,0.44248,0.34066,1.55641,0.58286,0.42712,0.17113,0.84014,0.79516,0.85254,0.85078
0.04984,0.06082,0.06912,0.04109,0.03906,0.05078,0.04911,0.02601,0.04349,0.03749,0.03963,0.03963,0.02423,0.89896,0.23343,0.4203,0.50726,1.78791,0.52735,0.66947,1.91723,1.43852,0.44135,0.3398,1.5551,0.58357,0.42738,0.17087,0.83731,0.79208,0.85055,0.8489
0.04988,0.06084,0.06912,0.04117,0.0391,0.05083,0.04911,0.02606,0.04348,0.03751,0.03964,0.03964,0.02425,0.89963,0.23335,0.4202,0.50727,1.78614,0.52704,0.6691,1.91601,1.43705,0.44136,0.33973,1.55409,0.58325,0.42713,0.17079,0.83643,0.79134,0.84977,0.84806
0.04992,0.06073,0.06894,0.0412,0.03926,0.05102,0.04911,0.02607,0.04337,0.03745,0.03964,0.03964,0.02436,0.90036,0.23325,0.4206,0.50793,1.78559,0.52595,0.66786,1.91102,1.43661,0.44194,0.34003,1.54991,0.58215,0.42624,0.1707,0.83579,0.79102,0.84873,0.84684
0.05012,0.06099,0.0693,0.04124,0.0394,0.05136,0.04911,0.0261,0.0436,0.0376,0.03968,0.03968,0.02444,0.90397,0.23278,0.41968,0.50659,1.7846,0.52498,0.66565,1.91521,1.43576,0.44076,0.33931,1.55336,0.5802,0.42551,0.17026,0.8315,0.78622,0.84467,0.84244
0.05046,0.06142,0.06993,0.04129,0.03966,0.05176,0.0491,0.02613,0.04399,0.03787,0.03974,0.03974,0.0246,0.91018,0.23196,0.41818,0.5043,1.7837,0.52328,0.66299,1.91288,1.43498,0.43875,0.33811,1.55137,0.57785,0.42414,0.1695,0.82419,0.77797,0.83765,0.83502
0.05086,0.0617,0.07035,0.04128,0.04013,0.05242,0.04909,0.02612,0.04425,0.03804,0.03982,0.03982,0.02489,0.91742,0.23103,0.41721,0.50277,1.78395,0.52011,0.65885,1.90263,1.43515,0.43739,0.33735,1.54276,0.57419,0.42157,0.16862,0.81612,0.76921,0.82919,0.8259
0.05125,0.06185,0.07062,0.0412,0.04071,0.05326,0.04908,0.02608,0.04442,0.03812,0.0399,0.0399,0.02523,0.92459,0.23012,0.4167,0.50182,1.78565,0.51634,0.65358,1.89326,1.43653,0.43656,0.33696,1.53486,0.56953,0.41855,0.16778,0.80845,0.76099,0.82065,0.81651
0.05195,0.06232,0.07141,0.04103,0.04156,0.05457,0.04907,0.02598,0.04492,0.0384,0.04003,0.04003,0.02575,0.93728,0.22853,0.4151,0.499,1.78937,0.5109,0.6456,1.88239,1.43955,0.43408,0.33572,1.52567,0.56249,0.4142,0.16629,0.79459,0.74558,0.80579,0.80034
0.05282,0.06314,0.07269,0.04093,0.04242,0.05614,0.04905,0.02592,0.04573,0.0389,0.0402,0.0402,0.02628,0.95303,0.22659,0.41235,0.49453,1.79175,0.50555,0.63652,1.88165,1.44143,0.43014,0.33356,1.52492,0.55448,0.40995,0.16448,0.77683,0.72558,0.78764,0.78063
0.05142,0.06184,0.07125,0.03997,0.04101,0.05461,0.04908,0.02532,0.04482,0.03811,0.03993,0.03993,0.02542,0.92763,0.22973,0.41675,0.49955,1.81327,0.51437,0.64534,1.93175,1.45933,0.43457,0.33715,1.56688,0.56229,0.41721,0.16752,0.80724,0.75678,0.81693,0.81145
0.04782,0.058,0.06635,0.03833,0.03778,0.05042,0.04914,0.0243,0.04176,0.03578,0.03925,0.03925,0.02344,0.86222,0.23845,0.43061,0.51779,1.85198,0.5364,0.67174,2.0217,1.49175,0.45065,0.34826,1.6426,0.58566,0.43514,0.17574,0.88499,0.83979,0.8917,0.89043
0.04461,0.0546,0.06205,0.03685,0.03487,0.04653,0.04921,0.02338,0.03908,0.03371,0.03864,0.03864,0.02167,0.80393,0.24709,0.44407,0.53558,1.88922,0.55877,0.6994,2.10549,1.52299,0.46635,0.35906,1.71341,0.6102,0.45331,0.18375,0.95428,0.91363,0.95836,0.96101
0.04275,0.05276,0.0598,0.03587,0.03312,0.0442,0.04924,0.02277,0.03767,0.03259,0.03829,0.03829,0.0206,0.7703,0.25251,0.45195,0.54562,1.91518,0.57376,0.71759,2.16453,1.54476,0.47523,0.3654,1.7634,0.62635,0.46551,0.18872,0.99428,0.95568,0.99695,1.00194
0.04191,0.05203,0.05895,0.03541,0.03225,0.04294,0.04926,0.02248,0.03713,0.03215,0.03813,0.03813,0.02006,0.75511,0.25508,0.45517,0.54957,1.92779,0.58169,0.72806,2.1885,1.55533,0.47872,0.368,1.78379,0.63565,0.47192,0.19105,1.01221,0.97425,1.01452,1.02077
0.0418,0.05199,0.05891,0.03534,0.03209,0.04244,0.04926,0.02245,0.03711,0.03211,0.03811,0.03811,0.01996,0.75308,0.25543,0.45537,0.54974,1.92945,0.58316,0.73239,2.1736,1.55672,0.47887,0.36817,1.7713,0.63947,0.473,0.19134,1.01452,0.97653,1.01693,1.02368
0.04304,0.0531,0.06035,0.03579,0.03336,0.04367,0.04923,0.02272,0.03801,0.0328,0.03834,0.03834,0.02074,0.77556,0.25164,0.45046,0.5431,1.91744,0.5717,0.72198,2.10097,1.54659,0.473,0.36424,1.71,0.6302,0.46352,0.18787,0.98831,0.9487,0.99098,0.99649
0.04574,0.05618,0.06462,0.03646,0.03562,0.04623,0.04919,0.02313,0.04067,0.03467,0.03885,0.03885,0.02212,0.82462,0.24391,0.4377,0.52472,1.89981,0.55283,0.70171,2.00719,1.53159,0.45679,0.35409,1.63092,0.61215,0.44805,0.18076,0.93059,0.88517,0.93517,0.93809
0.048,0.05904,0.06878,0.03675,0.03728,0.04793,0.04915,0.02332,0.04328,0.03641,0.03928,0.03928,0.02314,0.86561,0.23797,0.42674,0.50846,1.89229,0.54009,0.68916,1.93606,1.52505,0.44247,0.34541,1.57114,0.60099,0.43756,0.17523,0.8823,0.83064,0.88888,0.89009
0.04871,0.06043,0.07087,0.03678,0.03742,0.04805,0.04914,0.02334,0.04459,0.03725,0.03941,0.03941,0.02322,0.87851,0.23619,0.42168,0.50082,1.89174,0.5391,0.68833,1.92953,1.52446,0.43573,0.34144,1.56564,0.60024,0.43674,0.17356,0.86644,0.81144,0.87494,0.87603
0.04926,0.0613,0.0722,0.03679,0.03768,0.0484,0.04913,0.02335,0.04542,0.03778,0.03951,0.03951,0.02338,0.88844,0.23484,0.41861,0.49615,1.89159,0.5372,0.68576,1.92397,1.52426,0.43163,0.33901,1.56094,0.59795,0.4352,0.1723,0.85455,0.79743,0.86396,0.86468
0.04949,0.06173,0.07289,0.03673,0.03774,0.04811,0.04913,0.02331,0.04584,0.03805,0.03956,0.03956,0.02342,0.89262,0.23428,0.41711,0.49379,1.8931,0.53675,0.68789,1.90319,1.52547,0.42955,0.33784,1.54361,0.59982,0.43471,0.17175,0.84955,0.79123,0.85941,0.86041
0.04913,0.06176,0.073,0.03663,0.03708,0.04658,0.04913,0.02324,0.04591,0.03807,0.03949,0.03949,0.02302,0.88598,0.23517,0.41699,0.49338,1.89577,0.5416,0.6992,1.88503,1.5277,0.42921,0.33775,1.52858,0.6098,0.43842,0.17254,0.85666,0.79799,0.86752,0.87005
0.04859,0.06115,0.07227,0.03628,0.03663,0.04551,0.04915,0.02302,0.04546,0.0377,0.03938,0.03938,0.02275,0.87624,0.2365,0.41911,0.49589,1.90518,0.54497,0.70743,1.87103,1.53556,0.43142,0.33948,1.51702,0.61706,0.44098,0.17376,0.86848,0.81041,0.8786,0.8822
0.04805,0.06037,0.07133,0.03583,0.03632,0.04487,0.04915,0.02275,0.04487,0.03721,0.03928,0.03928,0.02255,0.86648,0.23785,0.42188,0.49918,1.91706,0.54739,0.71248,1.867,1.54548,0.43432,0.34172,1.51373,0.62153,0.44287,0.17503,0.88075,0.82349,0.8895,0.89374
0.04776,0.0601,0.07112,0.03546,0.03603,0.04445,0.04917,0.02252,0.04475,0.03705,0.03923,0.03923,0.02238,0.86123,0.23858,0.42286,0.4999,1.92738,0.5496,0.71589,1.87085,1.55406,0.43495,0.34254,1.51699,0.62455,0.44463,0.17572,0.88732,0.82978,0.89553,0.9002
0.04769,0.06003,0.07112,0.03528,0.03596,0.04443,0.04917,0.0224,0.04474,0.03701,0.03922,0.03922,0.02233,0.85994,0.23877,0.4231,0.4999,1.9323,0.55014,0.71609,1.8758,1.55815,0.43495,0.34275,1.52113,0.62474,0.44509,0.17589,0.88908,0.83126,0.89702,0.90171
0.04758,0.05985,0.07088,0.03527,0.03591,0.04441,0.04916,0.02239,0.04458,0.03691,0.0392,0.0392,0.0223,0.85793,0.23905,0.42373,0.50079,1.93275,0.55059,0.71615,1.88047,1.55855,0.43575,0.34325,1.52503,0.6248,0.44547,0.17617,0.8915,0.83406,0.89925,0.90395
0.04748,0.05969,0.07057,0.03536,0.03585,0.04429,0.04917,0.02246,0.0444,0.03681,0.03918,0.03918,0.02227,0.85605,0.23932,0.42431,0.50187,1.93009,0.551,0.71716,1.87887,1.55636,0.43669,0.3437,1.52371,0.62569,0.44578,0.1764,0.89358,0.83677,0.90133,0.90616
